id,description ,price,quantity,date 
1,ASUS Zenfone 8,2500,5,2024-07-12
2,ASUS Zenfone 8 Flip,2000,7,2024-07-12
3,ASUS ROG Phone 5,1500,10,2024-07-12
4,ASUS ROG Phone 5s,2500,5,2024-07-12
5,Infinix Zero 5G,2000,7,2024-07-12
6,Legion Phone Duel,1500,10,2024-07-12
7,Nokia G50,2500,5,2024-07-12
8,realme GT Master,2000,7,2024-07-12
9,realme GT 2 Pro,1500,10,2024-07-12
10,realme 9 Pro Plus,2500,5,2024-07-12
11,TCL 20 Pro 5G,2000,7,2024-07-12
12,Mi 11 Lite 5G,1500,10,2024-07-12
13,Xiaomi 12,2500,5,2024-07-12
14,Xiaomi 12 Lite,2000,7,2024-07-12
15,POCO M3 Pro 5G,1500,10,2024-07-12
16,POCO M4 Pro 5G,2500,5,2024-07-12
17,POCO X4 Pro 5G,2000,7,2024-07-12
18,Redmi Note 10 5G,1500,10,2024-07-12
19,Redmi Note 11 Pro 5G,2500,5,2024-07-12
20,Moto G 5G e Moto G 5G Plus,2000,7,2024-07-12
21,Moto G50 5G,1500,10,2024-07-12
22,Moto G71 5G,2500,5,2024-07-12
23,Moto G82 5G,2000,7,2024-07-12
24,Moto G100,1500,10,2024-07-12
25,Moto G200 5G,2500,5,2024-07-12
26,Motorola Edge,2000,7,2024-07-12
27,"Motorola Edge 20, 20 Lite e 20 Pro",1500,10,2024-07-12
28,Motorola Edge 30 e 30 Pro,2500,5,2024-07-12
29,Moto G62 5G,2000,7,2024-07-12
30,"Galaxy S22, S22 Plus e S22 Ultra",1500,10,2024-07-12
31,"Galaxy S21, S21 Plus e S21 Ultra",2500,5,2024-07-12
32,Galaxy S21 FE 5G,2000,7,2024-07-12
33,Galaxy S20 FE 5G,1500,10,2024-07-12
34,"Galaxy A22 5G, A32 5G, A52 5G e A52s 5G",2500,5,2024-07-12
35,"Galaxy A13 5G, A33 5G, A53 5G e A73 5G",2000,7,2024-07-12
36,"Galaxy M23, M33 e M53 5G",1500,10,2024-07-12
37,Galaxy M52 5G,2500,5,2024-07-12
38,Galaxy Z Fold 3 e Z Flip 3,2000,7,2024-07-12
39,Galaxy Z Fold 2,1500,10,2024-07-12
40,Galaxy Note 20 5G e Note 20 Ultra,2500,5,2024-07-12
41,iPhone SE (3ª geração),2000,7,2024-07-12
42,iPhone 13,1500,10,2024-07-12
43,iPhone 13 mini,2500,5,2024-07-12
44,iPhone 13 Pro,2000,7,2024-07-12
45,iPhone 13 Pro Max,1500,10,2024-07-12
46,iPhone 12,2500,5,2024-07-12
47,iPhone 12 mini,2000,7,2024-07-12
48,iPhone 12 Pro,1500,10,2024-07-12
49,iPhone 12 Pro Max,2500,5,2024-07-12